Word,Wordgroup,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
shorts,Clothing,7.7,3,12.5,23.3,23.4,31.9,43.1,58.8,50.5,65.3,71.8,76.5,82.8,75,84.3
lemme,Helping Verbs,10.3,1.5,6.2,13.7,13.8,13.9,26.4,43.5,30.8,49.3,57.7,61.7,69,65,84.3
star,Outside Things,15.4,16.7,23.8,21.9,38.3,45.8,45.8,49.4,54.2,70.7,65.4,77.8,72.4,73.3,84.3
helicopter,Vehicles (Real or Toy),9,7.6,8.8,23.3,25.5,33.3,45.8,49.4,48.6,64,71.8,86.4,72.4,65,84.3
cook,Action Words,7.7,4.5,10,17.8,29.8,27.8,27.8,50.6,48.6,60,65.4,72.8,63.8,71.7,84.3
story,Toys,11.5,6.1,18.8,24.7,21.3,33.3,38.9,52.9,51.4,53.3,64.1,71.6,74.1,80,84.3
cheerios,Food and Drink,20.5,27.3,37.5,34.2,45.7,59.7,58.3,67.1,58.9,66.7,61.5,81.5,84.5,80,84.3
splash,Action Words,7.7,6.1,7.5,15.1,20.2,31.9,31.9,44.7,46.7,45.3,59,64.2,58.6,70,84.3
firetruck,Vehicles (Real or Toy),12.8,3,13.8,20.5,26.6,33.3,41.7,48.2,48.6,62.7,55.1,72.8,65.5,70,84.3
cut,Action Words,3.8,0,2.5,11,10.6,15.3,29.2,43.5,35.5,48,53.8,66.7,58.6,66.7,84.3
strawberry,Food and Drink,15.4,9.1,16.3,17.8,25.5,37.5,41.7,55.3,46.7,61.3,67.9,70.4,72.4,85,84.3
watch(action),Action Words,5.1,4.5,5,16.4,20.2,25,34.7,44.7,44.9,50.7,60.3,65.4,65.5,73.3,84.3
hammer,Small Household Items,7.7,9.1,8.8,24.7,23.4,36.1,37.5,56.5,42.1,52,57.7,67.9,65.5,66.7,84.3
sheep,Animals (Real or Toy),12.8,9.1,18.8,30.1,39.4,40.3,41.7,54.1,52.3,61.3,71.8,72.8,69,68.3,82.9
draw,Action Words,6.4,1.5,8.8,15.1,12.8,30.6,31.9,40,39.3,52,53.8,54.3,53.4,60,82.9
dry (action),Action Words,5.1,3,6.2,9.6,12.8,20.8,22.2,41.2,36.4,52,48.7,61.7,60.3,71.7,82.9
beans,Food and Drink,10.3,10.6,20,30.1,33,48.6,47.2,57.6,54.2,57.3,66.7,67.9,65.5,61.7,82.9
meat,Food and Drink,7.7,4.5,8.8,28.8,36.2,31.9,40.3,44.7,51.4,52,69.2,72.8,70.7,68.3,82.9
glass,Small Household Items,7.7,4.5,10,24.7,22.3,34.7,34.7,54.1,49.5,60,66.7,69.1,72.4,78.3,82.9
some,Quantifiers and Articles,14.1,3,8.8,16.4,16,22.2,33.3,45.9,43,46.7,65.4,64.2,56.9,73.3,82.9
animal,Animals (Real or Toy),12.8,7.6,15,24.7,27.7,40.3,43.1,55.3,53.3,57.3,65.4,74.1,67.2,73.3,82.9
snack,Games and Routines,10.3,4.5,8.8,16.4,24.5,25,22.2,52.9,41.1,49.3,57.7,63,65.5,65,82.9
drop,Action Words,9,3,6.2,17.8,17,19.4,33.3,44.7,41.1,44,59,61.7,63.8,71.7,82.9
muffin,Food and Drink,10.3,9.1,7.5,16.4,25.5,27.8,41.7,42.4,41.1,54.7,53.8,65.4,62.1,61.7,82.9
soda pop,Food and Drink,15.4,13.6,22.5,28.8,36.2,41.7,50,68.2,53.3,61.3,62.8,74.1,79.3,80,82.9
wake,Action Words,5.1,1.5,2.5,8.2,7.4,11.1,26.4,23.5,30.8,42.7,48.7,53.1,55.2,66.7,82.9
wipe,Action Words,11.5,3,10,15.1,22.3,27.8,31.9,42.4,43,49.3,46.2,60.5,69,70,82.9
green,Descriptive Words,7.7,7.6,5,13.7,22.3,23.6,36.1,47.1,47.7,50.7,55.1,64.2,60.3,70,82.9
high,Descriptive Words,3.8,0,6.2,5.5,13.8,18.1,25,32.9,33.6,42.7,46.2,61.7,50,63.3,82.9
pretty,Descriptive Words,21.8,21.2,22.5,43.8,36.2,48.6,56.9,60,61.7,64,61.5,75.3,75.9,73.3,82.9
scared,Descriptive Words,7.7,1.5,2.5,8.2,5.3,13.9,22.2,32.9,34.6,44,52.6,63,56.9,60,82.9
garbage,Small Household Items,9,6.1,13.8,26,29.8,37.5,37.5,54.1,44.9,50.7,56.4,66.7,74.1,63.3,82.9
all,Quantifiers and Articles,9,7.6,11.3,11,12.8,19.4,34.7,38.8,40.2,42.7,52.6,66.7,62.1,63.3,82.9
clown,People,10.3,7.6,13.8,27.4,28.7,27.8,30.6,51.8,46.7,56,60.3,70.4,70.7,66.7,82.9
bump,Action Words,10.3,6.1,13.8,26,27.7,25,43.1,45.9,46.7,50.7,59,60.5,65.5,68.3,82.9
wait,Action Words,5.1,4.5,6.2,15.1,8.5,13.9,31.9,32.9,27.1,30.7,51.3,61.7,58.6,66.7,82.9
belt,Clothing,6.4,6.1,17.5,26,29.8,36.1,43.1,57.6,48.6,48,55.1,67.9,63.8,65,82.9
catch,Action Words,6.4,1.5,7.5,13.7,12.8,22.2,25,45.9,50.5,52,61.5,66.7,69,78.3,81.4
climb,Action Words,5.1,4.5,5,16.4,20.2,22.2,33.3,42.4,40.2,50.7,55.1,67.9,63.8,68.3,81.4
stay,Action Words,5.1,3,3.7,12.3,10.6,16.7,30.6,38.8,36.4,42.7,51.3,60.5,65.5,65,81.4
slipper,Clothing,12.8,4.5,12.5,24.7,24.5,31.9,36.1,50.6,52.3,54.7,57.7,63,72.4,71.7,81.4
fast,Descriptive Words,6.4,3,7.5,9.6,11.7,19.4,27.8,32.9,33.6,48,56.4,64.2,60.3,63.3,81.4
dish,Small Household Items,7.7,4.5,17.5,21.9,26.6,33.3,38.9,44.7,37.4,54.7,48.7,64.2,58.6,66.7,81.4
drawer,Furniture and Rooms,6.4,3,5,6.8,5.3,23.6,22.2,31.8,36.4,34.7,51.3,58,46.6,60,81.4
tiger,Animals (Real or Toy),10.3,15.2,15,21.9,29.8,34.7,40.3,60,52.3,58.7,66.7,77.8,74.1,76.7,81.4
feed,Action Words,7.7,3,3.7,13.7,13.8,18.1,22.2,43.5,30.8,40,56.4,69.1,56.9,70,81.4
boots,Clothing,14.1,9.1,26.3,32.9,36.2,48.6,52.8,69.4,62.6,69.3,69.2,81.5,87.9,80,81.4
yellow,Descriptive Words,9,9.1,11.3,16.4,27.7,23.6,33.3,44.7,46.7,57.3,56.4,71.6,62.1,65,81.4
hose,Outside Things,5.1,3,6.2,15.1,14.9,29.2,30.6,32.9,38.3,49.3,56.4,67.9,56.9,61.7,81.4
friend,People,10.3,0,5,9.6,11.7,13.9,23.6,34.1,29.9,37.3,44.9,55.6,53.4,55,81.4
sweep,Action Words,7.7,4.5,7.5,12.3,13.8,33.3,31.9,44.7,40.2,33.3,46.2,58,55.2,63.3,81.4
night,Words about Time,10.3,9.1,16.3,26,28.7,36.1,45.8,55.3,52.3,62.7,60.3,65.4,69,73.3,81.4
wanna,Helping Verbs,11.5,3,13.8,17.8,18.1,27.8,40.3,50.6,49.5,58.7,67.9,75.3,67.2,70,81.4
close,Action Words,9,4.5,5,16.4,29.8,27.8,38.9,49.4,44.9,58.7,60.3,69.1,72.4,80,81.4
give,Action Words,10.3,3,3.7,13.7,13.8,23.6,26.4,37.6,37.4,45.3,64.1,64.2,69,76.7,81.4
push,Action Words,10.3,7.6,12.5,30.1,26.6,31.9,33.3,47.1,54.2,54.7,64.1,75.3,72.4,80,81.4
nice,Descriptive Words,10.3,12.1,13.8,32.9,42.6,34.7,44.4,48.2,43.9,57.3,64.1,69.1,70.7,75,81.4
morning,Words about Time,7.7,6.1,8.8,13.7,17,22.2,23.6,41.2,32.7,50.7,47.4,51.9,55.2,63.3,81.4
where,Question Words,14.1,3,8.8,16.4,17,19.4,26.4,49.4,45.8,52,61.5,67.9,63.8,66.7,81.4
party,Places to Go,7.7,3,10,9.6,18.1,18.1,30.6,41.2,44.9,48,60.3,63,60.3,71.7,81.4
yum yum,Sound Effects and Animal Sounds,50,60.6,60,68.5,59.6,58.3,65.3,72.9,68.2,72,75.6,64.2,72.4,76.7,80
nuts,Food and Drink,3.8,0,3.7,11,11.7,16.7,18.1,30.6,37.4,40,51.3,60.5,60.3,66.7,80
can (item),Small Household Items,6.4,4.5,8.8,16.4,17,18.1,30.6,38.8,37.4,44,47.4,56.8,43.1,66.7,80
grr,Sound Effects and Animal Sounds,46.2,63.6,45,52.1,58.5,61.1,72.2,75.3,74.8,77.3,83.3,79,86.2,78.3,80
motorcycle,Vehicles (Real or Toy),9,6.1,12.5,17.8,22.3,31.9,43.1,58.8,43.9,58.7,59,76.5,75.9,63.3,80
show,Action Words,3.8,1.5,1.3,8.2,5.3,16.7,18.1,27.1,25.2,33.3,44.9,55.6,50,66.7,80
share,Action Words,5.1,0,6.2,9.6,7.4,20.8,29.2,34.1,27.1,45.3,42.3,64.2,53.4,56.7,80
high chair,Furniture and Rooms,12.8,6.1,13.8,21.9,24.5,38.9,51.4,54.1,53.3,60,56.4,70.4,77.6,65,80
choo choo,Sound Effects and Animal Sounds,29.5,33.3,48.7,50.7,59.6,56.9,70.8,71.8,69.2,84,79.5,86.4,87.9,78.3,80
make,Action Words,7.7,0,2.5,6.8,5.3,20.8,16.7,36.5,33.6,42.7,56.4,65.4,63.8,65,80
pickle,Food and Drink,9,7.6,13.8,24.7,20.2,29.2,36.1,62.4,41.1,56,60.3,63,62.1,75,80
potato,Food and Drink,9,4.5,16.3,19.2,23.4,31.9,43.1,43.5,48.6,56,62.8,70.4,65.5,81.7,80
pumpkin,Food and Drink,5.1,3,10,19.2,16,20.8,26.4,34.1,35.5,34.7,57.7,56.8,62.1,58.3,80
loud,Descriptive Words,7.7,0,1.3,8.2,9.6,19.4,19.4,28.2,26.2,42.7,44.9,56.8,53.4,53.3,80
sad,Descriptive Words,3.8,0,2.5,11,12.8,16.7,22.2,34.1,25.2,44,46.2,50.6,51.7,58.3,80
oven,Furniture and Rooms,9,3,7.5,16.4,11.7,25,29.2,36.5,32.7,41.3,46.2,56.8,48.3,66.7,80
turkey,Animals (Real or Toy),7.7,3,6.2,24.7,17,25,29.2,37.6,45.8,46.7,62.8,59.3,55.2,60,78.6
peas,Food and Drink,14.1,12.1,21.3,31.5,41.5,44.4,48.6,56.5,55.1,57.3,69.2,67.9,63.8,70,78.6
black,Descriptive Words,6.4,4.5,5,11,13.8,13.9,25,36.5,33.6,41.3,47.4,48.1,43.1,60,78.6
careful,Descriptive Words,7.7,1.5,5,17.8,20.2,27.8,25,37.6,41.1,48,60.3,61.7,72.4,65,78.6
dark,Descriptive Words,7.7,3,3.7,6.8,14.9,18.1,27.8,40,43,49.3,52.6,61.7,55.2,63.3,78.6
stove,Furniture and Rooms,6.4,1.5,8.8,12.3,11.7,20.8,22.2,40,31.8,41.3,50,56.8,55.2,63.3,78.6
stand,Action Words,9,3,5,11,14.9,25,26.4,38.8,31.8,41.3,56.4,59.3,58.6,71.7,78.6
sticky,Descriptive Words,5.1,1.5,8.8,9.6,23.4,20.8,27.8,40,32.7,42.7,51.3,58,56.9,53.3,78.6
lady,People,10.3,3,7.5,12.3,30.9,29.2,37.5,41.2,45.8,42.7,55.1,65.4,67.2,58.3,78.6
turn around,Games and Routines,16.7,4.5,7.5,17.8,12.8,23.6,27.8,41.2,40.2,46.7,51.3,63,62.1,73.3,78.6
underpan,Clothing,6.4,3,5,11,10.6,12.5,15.3,31.8,29,41.3,47.4,59.3,53.4,60,78.6
bucket,Small Household Items,3.8,7.6,8.8,19.2,18.1,30.6,34.7,47.1,35.5,46.7,50,60.5,48.3,56.7,78.6
my,Pronouns,12.8,12.1,8.8,28.8,21.3,27.8,40.3,56.5,52.3,66.7,61.5,67.9,67.2,73.3,78.6
hear,Action Words,5.1,0,6.2,9.6,9.6,15.3,19.4,34.1,26.2,32,51.3,51.9,62.1,68.3,78.6
take,Action Words,5.1,1.5,3.7,11,9.6,20.8,23.6,40,32.7,45.3,46.2,55.6,55.2,68.3,78.6
write,Action Words,6.4,3,10,12.3,18.1,20.8,26.4,42.4,37.4,37.3,46.2,63,58.6,73.3,78.6
thirsty,Descriptive Words,6.4,1.5,5,16.4,20.2,19.4,36.1,44.7,38.3,53.3,55.1,66.7,62.1,68.3,78.6
popsicle,Food and Drink,16.7,7.6,20,19.2,26.6,36.1,50,44.7,45.8,60,56.4,75.3,69,71.7,77.1
ant,Animals (Real or Toy),10.3,13.6,25,28.8,35.1,29.2,33.3,56.5,53.3,58.7,62.8,77.8,55.2,70,77.1
mailman,People,7.7,3,5,9.6,10.6,18.1,20.8,27.1,28,37.3,48.7,60.5,46.6,58.3,77.1
knock,Action Words,10.3,12.1,6.2,16.4,10.6,30.6,29.2,37.6,42.1,54.7,48.7,60.5,53.4,63.3,77.1
full,Descriptive Words,6.4,3,2.5,4.1,10.6,13.9,20.8,29.4,30.8,29.3,50,56.8,53.4,61.7,77.1
basket,Small Household Items,7.7,7.6,13.8,23.3,24.5,31.9,40.3,49.4,48.6,53.3,64.1,64.2,65.5,66.7,77.1
it,Pronouns,14.1,4.5,10,19.2,22.3,20.8,38.9,36.5,43,48,50,69.1,55.2,65,77.1
wind,Outside Things,6.4,6.1,8.8,17.8,18.1,25,33.3,49.4,32.7,52,43.6,65.4,63.8,61.7,77.1
gas station,Places to Go,5.1,1.5,5,2.7,10.6,8.3,19.4,28.2,23.4,30.7,39.7,46.9,48.3,63.3,77.1
uncle,People,5.1,7.6,13.8,17.8,24.5,22.2,30.6,44.7,43,52,61.5,59.3,63.8,65,77.1
gonna get you,Games and Routines,16.7,19.7,12.5,27.4,19.1,34.7,31.9,52.9,49.5,54.7,69.2,61.7,70.7,78.3,77.1
vitamins,Food and Drink,11.5,6.1,11.3,13.7,17,19.4,26.4,44.7,43.9,44,52.6,66.7,60.3,61.7,77.1
backyard,Outside Things,7.7,1.5,5,9.6,10.6,16.7,29.2,32.9,36.4,45.3,52.6,60.5,60.3,66.7,77.1
zoo,Places to Go,9,9.1,15,11,27.7,27.8,34.7,48.2,44.9,53.3,56.4,64.2,55.2,66.7,77.1
sitter's name,People,20.5,21.2,21.3,39.7,37.2,41.7,47.2,62.4,57.9,64,61.5,70.4,70.7,56.7,77.1
build,Action Words,5.1,1.5,2.5,6.8,5.3,19.4,20.8,30.6,27.1,41.3,47.4,59.3,56.9,61.7,75.7
yard,Places to Go,2.6,3,6.2,9.6,10.6,22.2,20.8,35.3,33.6,41.3,55.1,56.8,53.4,56.7,75.7
game,Toys,9,3,7.5,15.1,9.6,13.9,27.8,27.1,29.9,46.7,47.4,63,58.6,70,75.7
this,Pronouns,15.4,13.6,20,17.8,25.5,26.4,47.2,45.9,46.7,60,60.3,63,67.2,66.7,75.7
owl,Animals (Real or Toy),15.4,12.1,15,38.4,40.4,37.5,50,49.4,53.3,58.7,60.3,72.8,63.8,66.7,75.7
buy,Action Words,7.7,1.5,5,9.6,9.6,8.3,19.4,30.6,34.6,42.7,47.4,64.2,50,73.3,75.7
better,Descriptive Words,6.4,4.5,7.5,15.1,10.6,20.8,23.6,31.8,33.6,40,59,56.8,55.2,60,75.7
alligator,Animals (Real or Toy),9,7.6,12.5,13.7,19.1,27.8,20.8,43.5,40.2,57.3,60.3,61.7,77.6,75,75.7
necklace,Clothing,5.1,7.6,8.8,21.9,24.5,29.2,26.4,49.4,50.5,53.3,51.3,61.7,60.3,61.7,75.7
dryer,Furniture and Rooms,2.6,3,5,8.2,7.4,16.7,20.8,29.4,24.3,33.3,42.3,54.3,44.8,56.7,75.7
sidewalk,Outside Things,3.8,1.5,2.5,11,10.6,5.6,19.4,24.7,24.3,30.7,37.2,50.6,50,56.7,75.7
people,People,7.7,4.5,8.8,17.8,17,16.7,38.9,31.8,31.8,40,57.7,70.4,53.4,61.7,74.3
giraffe,Animals (Real or Toy),10.3,12.1,8.8,24.7,26.6,20.8,33.3,45.9,45.8,46.7,60.3,64.2,67.2,65,74.3
bat,Toys,11.5,9.1,17.5,23.3,19.1,36.1,34.7,48.2,42.1,50.7,52.6,67.9,63.8,60,74.3
pull,Action Words,5.1,6.1,6.2,19.2,11.7,25,26.4,35.3,37.4,46.7,59,55.6,56.9,71.7,74.3
smile,Action Words,7.7,4.5,2.5,11,10.6,22.2,19.4,31.8,27.1,41.3,41,54.3,55.2,70,74.3
why,Question Words,6.4,4.5,5,13.7,10.6,15.3,29.2,40,28,38.7,47.4,48.1,55.2,58.3,74.3
living room,Furniture and Rooms,6.4,3,5,8.2,8.5,15.3,19.4,36.5,26.2,41.3,52.6,54.3,53.4,60,74.3
snow,Outside Things,12.8,7.6,15,21.9,21.3,27.8,41.7,50.6,45.8,62.7,56.4,72.8,77.6,71.7,74.3
